url,straat,huisnummer,postcode,plaats,wijk,Vraagprijs,Vraagprijs per m²,Status,Soort woonhuis,Soort bouw,Bouwjaar,Specifiek,Soort dak,Gebruiksoppervlakten,Wonen,Overige inpandige ruimte,Gebouwgebonden buitenruimte,Externe bergruimte,Perceel,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Voorzieningen,Energielabel,Isolatie,Verwarming,Warm water,Oppervlakte,Eigendomssituatie,Ligging,Tuin,Achtertuin,Ligging tuin,Schuur/berging,Soort parkeergelegenheid,Inwoners,Gezin met kinderen,Gem. vraagprijs / m²,Keurmerken,Cv-ketel,Soort garage,Capaciteit,Oorspronkelijke vraagprijs,Toegankelijkheid,Balkon/dakterras,Zijtuin,Patio/atrium,Servicekosten,Praktijkruimte,Voortuin,Verkoopdatum,Looptijd,Laatste vraagprijs,Bouwperiode,Koopmengvorm,Zonneterras,Prijs,Veilingdatum,Kantoorruimte,model_pred,is_train,error,abs_error
https://www.funda.nl/detail/koop/almere/huis-moesdistelstraat-19/43206330/,Moesdistelstraat,19.0,1314 LN,Almere,Kruidenwijk Noordoost,400000.0,€ 3.738,Verkocht onder voorbehoud,"Eengezinswoning, tussenwoning",Bestaande bouw,1986,Gedeeltelijk gestoffeerd,Zadeldak bedekt met pannen,,107 m²,2 m²,1 m²,13 m²,114 m²,380 m³,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Douche, toilet, wastafel, en wastafelmeubel",3 woonlagen,"Elektra, verwarming en stromend water",B,Geen isolatie,Elektrische verwarming en stadsverwarming,Stadsverwarming,114 m²,Volle eigendom,Aan rustige weg en in woonwijk,Achtertuin en voortuin,"50 m² (11,00 meter diep en 4,50 meter breed)",Gelegen op het noordoosten bereikbaar via achterom,Vrijstaande houten berging,Openbaar parkeren,1.825,38%,€ 4.122,,,,,,,,,,,,,,,,,,,,,,399912.7558750907,True,87.2441249092808,87.2441249092808
https://www.funda.nl/detail/koop/almere/huis-3-laagse-tussenwoning-bouwnr-90/43225000/,3-Laagse tussenwoning (Bouwnr. 90),,1362 LK,Almere,Olympiakwartier Oost (brt),535000.0,€ 4.820,Verkocht onder voorbehoud,"Eengezinswoning, tussenwoning",Nieuwbouw,Na 2020,,Plat dak,,111 m²,,,,91 m²,403 m³,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"Douche, toilet, en wastafel",3 woonlagen,Elektra,A+++,Geen isolatie,Stadsverwarming,Stadsverwarming,91 m²,,In woonwijk,Achtertuin,,,Vrijstaande houten berging,Openbaar parkeren,125.0,,,Woningborg Garantiecertificaat,,,,,,,,,,,,,,,,,,,,,539397.6332660245,True,-4397.633266024524,4397.633266024524
https://www.funda.nl/detail/koop/almere/huis-vlaamse-gaailaan-25/89690120/,Vlaamse Gaailaan,25.0,1343 AK,Almere,Vogelhorst Noord,1195000.0,€ 4.799,Beschikbaar,"Villa, vrijstaande woning",Bestaande bouw,1994,,Plat dak bedekt met bitumineuze dakbedekking,,249 m²,1 m²,,12 m²,1.331 m²,875 m³,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Douche, dubbele wastafel, inloopdouche, stoomcabine, toilet, en vloerverwarming",2 woonlagen,Elektra,A,Volledig geïsoleerd,"Cv-ketel, open haard en gedeeltelijke vloerverwarming",Cv-ketel,497 m²,Volle eigendom,"Beschutte ligging, in bosrijke omgeving en in woonwijk","Achtertuin, tuin rondom, voortuin en zijtuin","640 m² (32,00 meter diep en 20,00 meter breed)",Gelegen op het noorden,Vrijstaande houten berging,Op eigen terrein,565.0,29%,€ 5.158,,"Nefit Topline (gas gestookt combiketel uit 2014, eigendom)",,,,,,,,,,,,,,,,,,,,1119712.1151115622,True,75287.88488843781,75287.88488843781
https://www.funda.nl/detail/koop/almere/huis-rachmaninovstraat-59/43361227/,Rachmaninovstraat,59.0,1323 NB,Almere,Muziekwijk Z.-Noord,375000.0,€ 4.261,Verkocht onder voorbehoud,"Eengezinswoning, tussenwoning",Bestaande bouw,1989,,,,88 m²,,1 m²,8 m²,125 m²,298 m³,4 kamers (3 slaapkamers),,,2 woonlagen,,A,,Stadsverwarming,Stadsverwarming,125 m²,,"Aan bosrand, aan rustige weg en in woonwijk",Achtertuin en voortuin,"8,00 meter diep en 5,00 meter breed",Gelegen op het noordwesten,,Openbaar parkeren,1.805,36%,€ 4.205,,,Vrijstaande houten garage,1 auto,,,,,,,,,,,,,,,,,,378143.04973970866,True,-3143.0497397086583,3143.0497397086583
https://www.funda.nl/detail/koop/almere/huis-3-laagse-tussenwoning-bouwnr-89/43225092/,3-Laagse tussenwoning (Bouwnr. 89),,1362 LK,Almere,Olympiakwartier Oost (brt),535000.0,€ 4.820,Verkocht onder voorbehoud,"Eengezinswoning, tussenwoning",Nieuwbouw,Na 2020,,Plat dak,,111 m²,,,,91 m²,403 m³,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"Douche, toilet, en wastafel",3 woonlagen,Elektra,A+++,Geen isolatie,Stadsverwarming,Stadsverwarming,91 m²,,In woonwijk,Achtertuin,,,Vrijstaande houten berging,Openbaar parkeren,125.0,,,Woningborg Garantiecertificaat,,,,,,,,,,,,,,,,,,,,,539397.6332660245,True,-4397.633266024524,4397.633266024524
https://www.funda.nl/detail/koop/almere/huis-ludenbos-30/43362554/,Ludenbos,30.0,1358 EN,Almere,Overgooi (brt),1199500.0,€ 6.974,Beschikbaar,"Eengezinswoning, vrijstaande woning",Bestaande bouw,2004,Gedeeltelijk gestoffeerd,Lessenaardak bedekt met pannen,,172 m²,33 m²,,,2.210 m²,749 m³,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,"Dubbele wastafel, inloopdouche, ligbad, en wastafelmeubel",2 woonlagen,Elektra,A+,Geen isolatie,Cv-ketel,Cv-ketel,2.210 m²,Volle eigendom,"Beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, tuin rondom, voortuin en zijtuin","1.160 m² (40,00 meter diep en 29,00 meter breed)",Gelegen op het zuiden bereikbaar via achterom,,Op eigen terrein en openbaar parkeren,720.0,46%,€ 5.136,,"Atag (gas gestookt combiketel uit 2017, eigendom)",Aangebouwde stenen garage,1 auto,,,,,,,,,,,,,,,,,,1012662.4157691535,True,186837.5842308465,186837.5842308465
https://www.funda.nl/detail/koop/almere/huis-drijfanker-51/89432151/,Drijfanker,51.0,1319 DC,Almere,Noorderplassen W.-Oost,1050000.0,€ 4.585,Verkocht onder voorbehoud,"Villa, vrijstaande woning (waterwoning)",Bestaande bouw,2007,,Lessenaardak bedekt met bitumineuze dakbedekking,,229 m²,,28 m²,13 m²,192 m²,823 m³,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,"2 inloopdouches, 2 toiletten, wastafel, dubbele wastafel, ligbad, vloerverwarming, en wastafelmeubel",3 woonlagen,"Glasvezelkabel, mechanische ventilatie, rookkanaal, schuifpui, en zonnepanelen",A,"Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Houtkachel, stadsverwarming en gedeeltelijke vloerverwarming",Elektrische boiler,192 m²,Volle eigendom,"Aan vaarwater, aan water en in woonwijk",Achtertuin en zijtuin,"48 m² (8,00 meter diep en 6,00 meter breed)",Gelegen op het westen,Vrijstaande houten berging,Op eigen terrein en openbaar parkeren,2.265,56%,€ 4.310,Energie Prestatie Advies,,,,€ 1.100.000 kosten koper,Toegankelijk voor ouderen,Dakterras aanwezig,,,,,,,,,,,,,,,1050925.664873028,True,-925.6648730279412,925.6648730279412
https://www.funda.nl/detail/koop/almere/huis-wielewaallaan-2/43320423/,Wielewaallaan,2.0,1343 AE,Almere,Vogelhorst Noord,990000.0,€ 5.323,Beschikbaar,"Villa, vrijstaande woning",Bestaande bouw,1990,,Zadeldak bedekt met pannen,,186 m²,27 m²,9 m²,40 m²,1.639 m²,646 m³,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Douche, jacuzzi, toilet, en wastafelmeubel",2 woonlagen,Elektrische deur en elektra,Niet beschikbaar,Muurisolatie,Cv-ketel en open haard,Cv-ketel,289 m²,Volle eigendom,"Aan bosrand, aan park, aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, tuin rondom, voortuin en zijtuin","700 m² (20,00 meter diep en 35,00 meter breed)",Gelegen op het zuiden bereikbaar via achterom,Aangebouwde stenen berging,Openbaar parkeren,565.0,29%,€ 5.158,,"Combi (gas gestookt combiketel uit 2012, eigendom)",Vrijstaande stenen garage,2 auto's,,,Balkon aanwezig,,,,,,,,,,,,,,,925772.2642019765,True,64227.735798023525,64227.735798023525
https://www.funda.nl/detail/koop/almere/huis-amsterdamweg-46/43315821/,Amsterdamweg,46.0,1324 RR,Almere,Stedenwijk Midden-noord,415000.0,€ 4.109,Beschikbaar,"Eengezinswoning, hoekwoning",Bestaande bouw,1982,Gedeeltelijk gestoffeerd,Zadeldak bedekt met pannen,,101 m²,5 m²,,9 m²,146 m²,204 m³,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"Douche, dubbele wastafel, toilet, en wastafelmeubel",3 woonlagen,Elektra,A,"Dakisolatie, muurisolatie, vloerisolatie en volledig geïsoleerd",Stadsverwarming,Stadsverwarming,146 m²,Volle eigendom,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin","40 m² (8,00 meter diep en 5,00 meter breed)",Gelegen op het westen bereikbaar via achterom,Aangebouwde stenen berging,"Betaald parkeren, openbaar parkeren en parkeervergunningen",1.31,46%,€ 3.658,,,,,,,,,,,,,,,,,,,,,,386021.8548984914,True,28978.14510150859,28978.14510150859
https://www.funda.nl/detail/koop/almere/huis-okerstraat-64/43313136/,Okerstraat,64.0,1339 BJ,Almere,Regenboogbuurt Noord en Oost,350000.0,€ 4.023,Onder bod,"Eengezinswoning, tussenwoning",Bestaande bouw,1996,,Plat dak,,87 m²,,,7 m²,135 m²,310 m³,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Douche, toilet, en wastafel",2 woonlagen,Mechanische ventilatie,A,,Cv-ketel,Cv-ketel,135 m²,Volle eigendom,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,"73 m² (14,50 meter diep en 5,00 meter breed)",Gelegen op het zuidwesten bereikbaar via achterom,Vrijstaande houten berging,Openbaar parkeren,2.44,47%,€ 3.938,,"Intergas HR (2012, eigendom)",,,,,,,,,,,,,,,,,,,,392279.3464219266,True,-42279.34642192657,42279.34642192657
